Launched Pure data with master PID 96615 (20 instances)
Waiting 20 seconds to stabilize...
cmd,pid,wall,cputime,usertime,rmem,load
/Applications/Pd,96618,01:51,0:38.48,0:35.13,26044,37.2
/Applications/Pd,96618,01:52,0:38.85,0:35.47,26044,36.4
/Applications/Pd,96618,01:53,0:39.24,0:35.82,26044,38.3
/Applications/Pd,96618,01:54,0:39.62,0:36.18,26044,37.7
/Applications/Pd,96618,01:55,0:40.00,0:36.53,26044,38.2
/Applications/Pd,96618,01:56,0:40.39,0:36.88,26044,37.8
/Applications/Pd,96618,01:57,0:40.78,0:37.23,26044,38.2
/Applications/Pd,96618,01:58,0:41.17,0:37.59,26044,38.9
/Applications/Pd,96618,01:59,0:41.54,0:37.94,26044,37.9
/Applications/Pd,96618,02:00,0:41.93,0:38.29,26044,37.7
/Applications/Pd,96618,02:01,0:42.30,0:38.63,26044,36.5
